WBANNO,Year,Month_Num,Month,CRX_VN_MONTHLY,PRECISE_LONGITUDE,PRECISE_LATITUDE,T_MONTHLY_MAX,T_MONTHLY_MIN,T_MONTHLY_MEAN,T_MONTHLY_AVG,P_MONTHLY_CALC,SOLRAD_MONTHLY_AVG,SUR_TEMP_MONTHLY_TYPE,SUR_TEMP_MONTHLY_MAX,SUR_TEMP_MONTHLY_MIN,SUR_TEMP_MONTHLY_AVG
3758,2007,3,March,1.302,-79.0931,35.9705,-9999,-9999,-9999,-9999,-9999,-9999,U,-9999,-9999,-9999
3758,2007,4,April,1.302,-79.0931,35.9705,20.7,7.5,14.1,14.4,112.4,22.2,R,33.8,6,16.3
3758,2007,5,May,1.302,-79.0931,35.9705,24.9,12,18.4,18.7,41.1,23.3,R,40,12,22.1
3758,2007,6,June,1.302,-79.0931,35.9705,29,16.9,23,22.7,78.4,22.9,R,41.3,17.1,25.5
3758,2007,7,July,1.302,-79.0931,35.9705,30.6,17.8,24.2,23.8,71.9,23.1,R,46.3,17.8,27.6
3758,2007,8,August,1.302,-79.0931,35.9705,34.6,20.5,27.6,27.1,9.8,21.8,R,52.3,20.3,31.4
3758,2007,9,September,1.302,-79.0931,35.9705,29.9,15.3,22.6,22.2,25.3,19.5,R,47.6,14.7,25.9
3758,2007,10,October,1.302,-79.0931,35.9705,25.4,11.6,18.5,18.1,106.1,13.5,R,37.9,10.7,19.9
3758,2007,11,November,1.302,-79.0931,35.9705,16.1,2.6,9.3,9.2,10.2,11.4,R,25.2,1.9,9.9
3758,2007,12,December,1.302,-79.0931,35.9705,13.9,3,8.5,8.3,-9999,7.4,R,19.6,2.1,8.3
3758,2008,1,January,1.302,-79.0931,35.9705,9.5,-1.4,4.1,4.1,26.7,9.8,R,18.3,-1.2,5.7
3758,2008,2,February,1.302,-79.0931,35.9705,13.8,0.8,7.3,7.2,77,12.2,R,22.3,0.8,8.5
3758,2008,3,March,1.302,-79.0931,35.9705,17,4.1,10.6,10.7,163.8,16.1,R,25.2,2.7,11
3758,2008,4,April,1.302,-79.0931,35.9705,20.1,8.5,14.3,14.4,98.5,16.7,R,31.6,9.8,17.7
3758,2008,5,May,1.302,-79.0931,35.9705,23.9,11.4,17.7,17.7,92.8,22.6,R,34.9,13.2,21.7
3758,2008,6,June,1.302,-79.0931,35.9705,31.4,18.2,24.8,24.6,86.7,25.7,R,48.3,18.3,29.3
3758,2008,7,July,1.302,-79.0931,35.9705,29.8,18.5,24.1,23.7,159.9,23,R,40.3,19.1,26.7
3758,2008,8,August,1.302,-79.0931,35.9705,29.3,18.1,23.7,23.2,165.4,19.8,R,39.1,18,25.5
3758,2008,9,September,1.302,-79.0931,35.9705,25.7,16.2,21,20.4,208.5,15,R,31.7,16.4,21.6
3758,2008,10,October,1.302,-79.0931,35.9705,20.4,7.2,13.8,13.2,23.3,14.4,R,24,6.6,13.3
3758,2008,11,November,1.302,-79.0931,35.9705,14.1,2.2,8.2,8.1,86.3,9.9,R,21.6,0.8,7.8
3758,2008,12,December,1.302,-79.0931,35.9705,12.6,1.7,7.2,7.4,92.5,7.3,R,18.5,0.2,7.2
3758,2009,1,January,1.302,-79.0931,35.9705,8.3,-2.1,3.1,3,52.1,8.6,R,15,-4,2.8
3758,2009,2,February,1.302,-79.0931,35.9705,12.2,0.1,6.2,6.3,42.3,13.7,R,21.9,-2.6,6.2
3758,2009,3,March,1.302,-79.0931,35.9705,14.8,3.4,9.1,9.1,160.7,14.4,R,25.1,1.8,9.6
3758,2009,4,April,1.302,-79.0931,35.9705,21.6,7.8,14.7,14.9,56.6,19.4,R,31.7,6.4,15.8
3758,2009,5,May,1.302,-79.0931,35.9705,25,13.8,19.4,19.2,66.8,20.1,R,33,13,20.5
3758,2009,6,June,1.302,-79.0931,35.9705,28.8,17.6,23.2,23.1,138.2,23.1,R,37,16.8,24.6
3758,2009,7,July,1.302,-79.0931,35.9705,29.4,18.1,23.8,23.5,87.9,21.7,R,39.1,17.1,25.2
3758,2009,8,August,1.302,-79.0931,35.9705,30.2,19.9,25,24.4,74.9,18.2,R,39,19.4,25.8
3758,2009,9,September,1.302,-79.0931,35.9705,25.9,15,20.4,19.9,67,15.8,R,34.6,14.3,21.4
3758,2009,10,October,1.302,-79.0931,35.9705,19.9,9.2,14.6,14.4,63.1,10.8,R,26.1,8.5,15.2
3758,2009,11,November,1.302,-79.0931,35.9705,16.6,5.3,10.9,10.5,204.2,8.8,R,22,4.9,10.9
3758,2009,12,December,2.402,-79.0931,35.9705,9.3,-1.1,4.1,3.9,164.6,7.6,R,13.3,-2.1,4
3758,2010,1,January,2.402,-79.0931,35.9705,8.3,-3.4,2.5,2.3,119.8,9.5,R,12.6,-4.7,2.2
3758,2010,2,February,2.402,-79.0931,35.9705,7.2,-2.2,2.5,2.2,86.6,11.6,R,12.8,-3.9,2.4
3758,2010,3,March,2.402,-79.0931,35.9705,17,4,10.5,10.5,63,15.3,R,25.3,2.3,11
3758,2010,4,April,2.402,-79.0931,35.9705,23.9,8.5,16.2,16.4,21.6,21.4,R,32.3,6.7,17.3
3758,2010,5,May,2.402,-79.0931,35.9705,26.2,15.4,20.8,20.7,167.3,19.4,R,34.1,14.4,22.1
3758,2010,6,June,2.402,-79.0931,35.9705,31,20.1,25.5,25.2,65.4,23.5,R,36.8,19.4,26.4
3758,2010,7,July,2.402,-79.0931,35.9705,31.9,20.2,26,25.7,87.8,22.7,R,43,19.6,28.3
3758,2010,8,August,2.402,-79.0931,35.9705,31.7,20.4,26,25.3,35.8,19.5,R,42,19.9,27.4
3758,2010,9,September,2.402,-79.0931,35.9705,30.3,16.8,23.5,23.1,167.2,18.2,R,42.7,15.4,25.2
3758,2010,10,October,2.402,-79.0931,35.9705,23.1,8.8,16,15.6,51.9,15.7,R,30.3,7.8,16.4
3758,2010,11,November,2.402,-79.0931,35.9705,16.4,3.1,9.7,9.3,29.5,10.6,R,21.3,2,9.6
3758,2010,12,December,2.402,-79.0931,35.9705,5.4,-3.9,0.7,0.5,52.5,8.2,R,9.2,-4.6,1.1
3758,2011,1,January,2.402,-79.0931,35.9705,7.6,-3.1,2.3,2.1,30.7,8.8,R,11.2,-3.5,2.8
3758,2011,2,February,2.402,-79.0931,35.9705,14.5,0.7,7.6,7.8,58.8,12.5,R,18.6,0.3,8.6
3758,2011,3,March,2.402,-79.0931,35.9705,15.8,3.7,9.7,10,91.9,13.9,R,20.1,3.4,11
3758,2011,4,April,2.402,-79.0931,35.9705,22.8,9.5,16.2,16.4,83.3,19.1,R,26.9,9.3,17.6
3758,2011,5,May,2.402,-79.0931,35.9705,25.2,13.6,19.4,19.2,121.1,21.1,R,30.8,13.4,21
3758,2011,6,June,2.402,-79.0931,35.9705,31.3,17.9,24.6,24.3,36.2,24.5,R,37.8,17.8,26.8
3758,2011,7,July,2.402,-79.0931,35.9705,32.7,20.7,26.7,26.1,113.3,22.9,R,39,20.7,28.4
3758,2011,8,August,2.402,-79.0931,35.9705,31.6,19.5,25.5,25.1,64.9,20.3,R,37.2,19.4,27
3758,2011,9,September,2.402,-79.0931,35.9705,27,16.4,21.7,21.2,103.3,14.8,R,32.3,16.2,22.8
3758,2011,10,October,2.402,-79.0931,35.9705,20.6,7.3,14,13.6,79.7,14.3,R,25.1,6.9,14.9
3758,2011,11,November,2.402,-79.0931,35.9705,18.3,4.3,11.3,10.9,113.8,11,R,22.4,4,12
3758,2011,12,December,2.402,-79.0931,35.9705,14.3,1.8,8,8,68.7,8.5,R,18.4,1.6,8.9
3758,2012,1,January,2.402,-79.0931,35.9705,12.6,0.1,6.4,6.5,45.9,9.7,R,16,0,7.3
3758,2012,2,February,2.402,-79.0931,35.9705,13.6,0.8,7.2,7.4,55.2,11.3,R,17.6,0.5,8.3
3758,2012,3,March,2.412,-79.0931,35.9705,21.5,8.4,14.9,15,148.9,15.9,R,29.8,5.9,15.1
3758,2012,4,April,2.412,-79.0931,35.9705,20.9,8,14.4,14.6,97.8,19.7,C,29.1,6.2,15.4
3758,2012,5,May,2.412,-79.0931,35.9705,26.5,15,20.8,20.4,103.3,21,C,34.7,13.2,21.5
3758,2012,6,June,2.412,-79.0931,35.9705,28.8,15.4,22.1,22.1,62.9,24.4,C,40.7,13.2,24
3758,2012,7,July,2.412,-79.0931,35.9705,32.8,21,26.9,26,130.1,21.1,C,45.3,19.7,28.5
3758,2012,8,August,2.412,-79.0931,35.9705,28.8,19.1,24,23.4,91.1,17.7,C,38,18,25.1
3758,2012,9,September,2.412,-79.0931,35.9705,25.9,14.7,20.3,19.6,208,16.3,C,32.7,13.7,20.5
3758,2012,10,October,2.422,-79.0931,35.9705,20.2,8.9,14.5,14.1,61.9,11.7,C,26.9,6.9,14.4
3758,2012,11,November,2.422,-79.0931,35.9705,14.5,1,7.8,7.4,10.2,11,C,21.9,-2.5,6.5
3758,2012,12,December,2.422,-79.0931,35.9705,14,3,8.5,8.3,73.4,7.1,C,19.3,0.2,7.5
3758,2013,1,January,2.422,-79.0931,35.9705,11.6,0.9,6.2,6.1,92.4,7.9,C,17.2,-1.9,5.5
3758,2013,2,February,2.422,-79.0931,35.9705,10.4,-0.8,4.8,4.8,102.9,10.8,C,17.6,-4.7,4.2
3758,2013,3,March,2.422,-79.0931,35.9705,12.8,0.2,6.5,6.6,71,15.5,C,24,-3.9,6.7
3758,2013,4,April,2.422,-79.0931,35.9705,21.6,8.5,15.1,15,92.1,19.8,C,33,5.5,16.1
3758,2013,5,May,2.422,-79.0931,35.9705,23.7,12.3,18,17.9,135.7,20.4,C,32.7,10.3,19
3758,2013,6,June,2.422,-79.0931,35.9705,28.1,18.2,23.2,22.7,246.8,20.7,C,34.4,16.8,23.5
3758,2013,7,July,2.422,-79.0931,35.9705,29.1,20.6,24.9,24.3,166.3,19.3,C,35.6,19.5,25.3
3758,2013,8,August,2.422,-79.0931,35.9705,28,18.3,23.1,22.6,129.8,17.9,C,35.2,17.1,23.6
3758,2013,9,September,2.422,-79.0931,35.9705,26,14.4,20.2,19.6,87.9,18.1,C,33.3,12.6,20.4
3758,2013,10,October,2.422,-79.0931,35.9705,20.9,10.5,15.7,15.4,89.4,11.1,C,27.6,8.4,15.7
3758,2013,11,November,2.422,-79.0931,35.9705,14.4,2,8.2,7.9,61.3,10.5,C,21.9,-1.2,7.6
3758,2013,12,December,2.422,-79.0931,35.9705,13.1,1.1,7.1,6.9,134.8,7.8,C,18.2,-2,5.9
3758,2014,1,January,2.422,-79.0931,35.9705,7.9,-5.1,1.4,1.3,77.9,10.2,C,14.6,-8.3,0.8
3758,2014,2,February,2.422,-79.0931,35.9705,11.2,-0.3,5.5,5.3,77.8,11.2,C,18.4,-4.7,4.5
3758,2014,3,March,2.422,-79.0931,35.9705,13.8,0.5,7.1,7.1,130.8,14.3,C,22.3,-3.2,6.9
3758,2014,4,April,2.422,-79.0931,35.9705,22,7.9,14.9,15.1,144.4,19.1,C,32,4.1,15.2
3758,2014,5,May,2.422,-79.0931,35.9705,26.3,13.3,19.8,19.8,113.6,23.1,C,34.6,10.4,20.3
3758,2014,6,June,2.422,-79.0931,35.9705,30.4,17.5,24,23.5,46.8,23.7,C,40.2,15.2,24.8
3758,2014,7,July,2.422,-79.0931,35.9705,30.5,19,24.7,24.2,54.6,20.8,C,44,17,26.5
3758,2014,8,August,2.422,-79.0931,35.9705,28.1,18.6,23.3,22.7,120.8,17.8,C,39.5,17,24.8
3758,2014,9,September,2.422,-79.0931,35.9705,25.7,16.9,21.3,20.8,69.5,13.3,C,35.1,15.3,22.1
3758,2014,10,October,2.422,-79.0931,35.9705,22.9,9.4,16.1,15.8,48.8,14.8,C,31,6.6,15.8
3758,2014,11,November,2.422,-79.0931,35.9705,13.7,0.6,7.2,7.2,93.1,9.6,C,20.3,-2.6,6.6
3758,2014,12,December,2.422,-79.0931,35.9705,11.5,1.4,6.5,6.4,103.2,6.8,C,16.7,-1.4,5.7
3758,2015,1,January,2.422,-79.0931,35.9705,9.2,-2.1,3.5,3.4,78.9,9,C,16.3,-5.7,2.8
3758,2015,2,February,2.422,-79.0931,35.9705,6.6,-5.1,0.8,0.8,91.4,11.2,C,14.2,-9.3,0.4
3758,2015,3,March,2.422,-79.0931,35.9705,16.4,3.6,10,9.8,92.4,13.5,C,25.7,0,10.1
3758,2015,4,April,2.422,-79.0931,35.9705,21.8,9.2,15.5,15.5,113.7,17.5,C,32.1,6.3,16.3
3758,2015,5,May,2.422,-79.0931,35.9705,26.9,14.1,20.5,20.3,27.3,23.6,C,37.9,11.1,21.6
3758,2015,6,June,2.422,-79.0931,35.9705,30.8,19,24.9,24.6,178.1,23.6,C,40.5,17.3,26.2
3758,2015,7,July,2.422,-79.0931,35.9705,30.7,20,25.4,24.9,65.8,21.9,C,40.6,18.5,26.6
3758,2015,8,August,2.422,-79.0931,35.9705,30.2,18.2,24.2,23.7,90.3,19.3,C,42.3,16.3,25.5
3758,2015,9,September,2.422,-79.0931,35.9705,27.1,16.8,22,21.4,125.3,14.7,C,37.2,15.5,22.8
3758,2015,10,October,2.422,-79.0931,35.9705,20.3,9,14.6,14.1,132.7,12.1,C,28.1,7,14.7
3758,2015,11,November,2.422,-79.0931,35.9705,17.6,6.9,12.2,12,161.1,8.5,C,23.8,4.5,11.7
3758,2015,12,December,2.422,-79.0931,35.9705,17.4,7.4,12.4,12.2,253.2,6.5,C,21,5,11.6
3758,2016,1,January,2.422,-79.0931,35.9705,8,-2.1,3,3,56.1,9.2,C,13.6,-4.9,2.3
3758,2016,2,February,2.422,-79.0931,35.9705,11,0.5,5.7,5.8,117.1,11.1,C,18.9,-2,5.9
3758,2016,3,March,2.422,-79.0931,35.9705,19.9,7.4,13.7,13.7,101.7,16.4,C,29.1,4.2,13.7
3758,2016,4,April,2.422,-79.0931,35.9705,21.4,8.5,15,15,67.1,21.4,C,32,5.8,16
3758,2016,5,May,2.422,-79.0931,35.9705,23.9,13.1,18.5,18.3,139.1,18.7,C,32,12,19.7
3758,2016,6,June,2.422,-79.0931,35.9705,29.4,17.3,23.4,23.3,160.7,23.8,C,36.6,15.8,24.4
3758,2016,7,July,2.422,-79.0931,35.9705,32,20.9,26.5,25.7,160.6,22.9,C,37.7,20,26.8
3758,2016,8,August,2.422,-79.0931,35.9705,31.4,21,26.2,25.5,81,20.8,C,37.8,20,26.5
3758,2016,9,September,2.422,-79.0931,35.9705,28.9,18.4,23.7,22.9,166.7,14.9,C,35.3,17.1,23.6
3758,2016,10,October,2.422,-79.0931,35.9705,23.2,10.5,16.9,16.3,131.4,14.9,C,28.1,8.9,16.2
3758,2016,11,November,2.422,-79.0931,35.9705,18.1,3.8,10.9,10.3,16.2,11.2,C,22.1,1.3,9.3
3758,2016,12,December,2.422,-79.0931,35.9705,11.5,0.8,6.1,6.1,35.9,7.6,C,15.2,-1.4,5.4
3758,2017,1,January,2.422,-79.0931,35.9705,12.1,1.9,7,7.2,103.7,7.9,C,15.6,-0.7,6.2
3758,2017,2,February,2.422,-79.0931,35.9705,18.3,3.3,10.8,10.7,26.5,13.8,C,24.2,0,9.8
3758,2017,3,March,2.422,-79.0931,35.9705,-9999,-9999,-9999,-9999,-9999,-9999,U,-9999,-9999,-9999
3758,2017,4,April,2.422,-79.0931,35.9705,24.1,11.6,17.9,17.6,173.4,19,C,33.3,8.2,17.9
3758,2017,5,May,2.422,-79.0931,35.9705,25.2,13.9,19.5,19.3,136.9,20.9,C,35.9,11.7,21
3758,2017,6,June,2.422,-79.0931,35.9705,28.6,16.9,22.8,22.5,158.3,23,C,35.8,15.1,23.5
3758,2017,7,July,2.422,-79.0931,35.9705,31.9,20.3,26.1,25.5,46.2,23.7,C,38.3,19.3,27
3758,2017,8,August,2.422,-79.0931,35.9705,30.1,18.8,24.4,23.9,65.7,18.7,C,37.8,17.5,25.1
3758,2017,9,September,2.422,-79.0931,35.9705,27.4,15.5,21.4,20.7,62,17.2,C,34.5,14,21.5
3758,2017,10,October,2.422,-79.0931,35.9705,23.9,10.4,17.1,16.5,49,13.6,C,30.3,8.6,16.9
3758,2017,11,November,2.422,-79.0931,35.9705,16.4,2.7,9.6,9.3,30.3,10.3,C,21.3,1.1,8.9
3758,2017,12,December,2.422,-79.0931,35.9705,11.1,0,5.5,5.2,49.2,7.5,C,15.8,-2.4,4.7
3758,2018,1,January,2.422,-79.0931,35.9705,8.6,-4.4,2.1,2.2,107.8,10.1,C,13.9,-7.9,1.1
3758,2018,2,February,2.422,-79.0931,35.9705,16.4,4.5,10.4,10.4,54.2,8.6,C,22.6,2.3,10.4
3758,2018,3,March,2.422,-79.0931,35.9705,13.1,1.5,7.3,7.3,109.1,14.1,C,22.8,-1.7,7.8
3758,2018,4,April,2.422,-79.0931,35.9705,20.7,6.1,13.4,13.6,138.5,18.8,C,30.8,3.3,14.4
3758,2018,5,May,2.422,-79.0931,35.9705,28.1,16.1,22.1,21.9,102.5,19.9,C,36.4,13.9,22.7
3758,2018,6,June,2.422,-79.0931,35.9705,30.3,18.9,24.6,24.3,102.8,22.8,C,37.6,17.2,25.3
3758,2018,7,July,2.422,-79.0931,35.9705,30.7,19.6,25.2,24.5,111,21.7,C,43.4,17.7,27
3758,2018,8,August,2.422,-79.0931,35.9705,30.1,19.6,24.8,24.2,241.5,20.3,C,37.4,18.2,25.4
3758,2018,9,September,2.422,-79.0931,35.9705,28.3,19.6,24,23.3,307.9,13.1,C,33.3,18.7,24
3758,2018,10,October,2.422,-79.0931,35.9705,21.5,10.4,16,15.6,132.4,12.2,C,26.6,8.3,15.7
3758,2018,11,November,2.422,-79.0931,35.9705,13.5,3.4,8.4,8.2,209.9,8.6,C,17.9,1.5,8.1
3758,2018,12,December,2.422,-79.0931,35.9705,11.9,1.7,6.8,6.7,172.6,6.7,C,14.5,-0.8,5.4
3758,2019,1,January,2.422,-79.0931,35.9705,10.5,-0.3,5.1,4.9,88.7,8.8,C,15.9,-3.1,4.5
3758,2019,2,February,2.422,-79.0931,35.9705,14.1,2.5,8.3,8.1,143.8,9,C,19.8,-0.3,7.7
3758,2019,3,March,2.622,-79.0931,35.9705,15.4,3.2,9.3,9.2,86,14.6,C,26.2,-1.2,9.2
3758,2019,4,April,2.622,-79.0931,35.9705,22.4,9.9,16.2,16.1,168.6,17.1,C,31.1,6.6,16.3
3758,2019,5,May,2.622,-79.0931,35.9705,28.3,15.9,22.1,22,52.3,21.8,C,37.3,13,22.7
3758,2019,6,June,2.622,-79.0931,35.9705,28.8,17.8,23.3,23.1,116.3,21.1,C,38.1,15.3,24.2
3758,2019,7,July,2.622,-79.0931,35.9705,32.8,20.1,26.5,25.9,58.9,21.5,C,44.6,18,27.6
3758,2019,8,August,2.622,-79.0931,35.9705,30.7,19.1,24.9,23.9,90.8,18.2,C,45,17.2,26.2
3758,2019,9,September,2.622,-79.0931,35.9705,30.7,17.9,24.3,23.6,13.2,17.2,C,47.3,14.7,26
3758,2019,10,October,2.622,-79.0931,35.9705,24.2,11.6,17.9,17.6,101.5,11.8,C,36.6,8.2,18.7
3758,2019,11,November,2.622,-79.0931,35.9705,13.6,2,7.8,7.6,82,9.1,C,21.4,-0.8,7.5
3758,2019,12,December,2.622,-79.0931,35.9705,13.6,1.5,7.5,7.5,79.1,7.4,C,19.7,-2.2,6.4
3758,2020,1,January,2.622,-79.0931,35.9705,12.3,2.4,7.3,7.3,119.6,7.9,C,19.3,-1.3,6.5
3758,2020,2,February,2.622,-79.0931,35.9705,13.4,2.8,8.1,8.2,134.6,9.5,C,20.5,-0.5,7.7
3758,2020,3,March,2.622,-79.0931,35.9705,18.8,8.4,13.6,13.6,52.3,12.7,C,28,5,13.5
3758,2020,4,April,2.622,-79.0931,35.9705,20.8,7.2,14,14.2,147.1,19.6,C,30.7,3.8,14.7
